id,zip,state,county,poverty,price2007,price2013
0,10467,NY,bronx,27.1,335200,294000
1,11226,NY,kings,21.9,471500,471600
2,60640,IL,cook,14.6,254600,174200
3,94109,CA,san francisco,10.6,707100,822600
4,11375,NY,queens,12.2,636400,681500
5,11235,NY,kings,21.9,523900,549300
7,90250,CA,los angeles,14.6,545300,411700
8,37211,TN,davidson,15.2,139800,141700
9,60618,IL,cook,14.6,337800,320300
10,37013,TN,davidson,15.2,144100,129100
11,90046,CA,los angeles,14.6,1051000,1004600
12,75070,TX,collin,6.2,193200,208900
14,28269,NC,mecklenburg,11.0,151400,144600
15,21234,MD,baltimore,19.9,220100,184700
16,11209,NY,kings,21.9,744400,774000
17,10463,NY,bronx,27.1,455900,419800
18,60625,IL,cook,14.6,294400,238800
19,30044,GA,gwinnett,8.4,163100,109500
21,60613,IL,cook,14.6,273300,177700
22,11214,NY,kings,21.9,543400,506800
23,63376,MO,saint charles,4.6,180700,153500
24,30096,GA,gwinnett,8.4,183000,147100
25,33139,FL,miami-dade,15.3,365100,318100
26,20009,DC,district of columbia,-1.0,443300,490200
27,94501,CA,alameda,11.0,693400,703600
28,23464,VA,virginia beach city,6.6,262700,226600
29,90034,CA,los angeles,14.6,808600,784900
31,94110,CA,san francisco,10.6,793000,978500
32,11234,NY,kings,21.9,490900,446000
33,90650,CA,los angeles,14.6,482700,342900
34,44035,OH,lorain,11.2,114200,84600
35,11377,NY,queens,12.2,535100,521500
36,44107,OH,cuyahoga,15.7,132100,122900
38,90044,CA,los angeles,14.6,400500,266200
39,30043,GA,gwinnett,8.4,191900,158900
40,90805,CA,los angeles,14.6,451300,312800
41,33160,FL,miami-dade,15.3,361800,286900
42,77584,TX,brazoria,9.8,186500,184200
43,10314,NY,richmond,10.1,419700,371400
44,92683,CA,orange,8.9,625800,488100
45,29483,SC,dorchester,10.7,145800,132700
46,87111,NM,bernalillo,14.9,241100,235800
47,94558,CA,napa,8.6,625700,444700
48,90026,CA,los angeles,14.6,664700,659800
49,19143,PA,philadelphia,23.5,68600,64700
50,91910,CA,san diego,11.1,528700,379500
51,97701,OR,deschutes,8.9,389000,285200
52,11207,NY,kings,21.9,357400,296800
53,28277,NC,mecklenburg,11.0,248100,265300
54,11355,NY,queens,12.2,482800,504300
55,6010,CT,hartford,9.3,200500,175500
56,2169,MA,norfolk,6.4,373000,315200
57,48197,MI,washtenaw,12.7,206600,150100
58,15601,PA,westmoreland,9.5,118100,123200
59,85710,AZ,pima,14.9,203100,136200
60,75067,TX,denton,7.1,140300,156600
61,78745,TX,travis,14.6,139100,185300
62,95630,CA,sacramento,12.2,517500,442600
63,97007,OR,washington,8.6,270600,255400
64,95608,CA,sacramento,12.2,428700,328900
65,97006,OR,washington,8.6,248100,235200
66,85308,AZ,maricopa,12.9,335000,221000
68,78577,TX,hidalgo,34.0,65400,70300
69,32210,FL,duval,12.4,143300,79400
70,8701,NJ,ocean,8.4,331800,222200
71,33411,FL,palm beach,10.2,330300,170400
72,20906,MD,montgomery,5.1,398800,278400
73,80013,CO,arapahoe,11.1,202500,202500
74,8753,NJ,ocean,8.4,329100,247200
75,17603,PA,lancaster,8.6,136000,134200
76,85225,AZ,maricopa,12.9,264600,182400
78,90066,CA,los angeles,14.6,874600,876900
79,30080,GA,cobb,9.4,184200,167500
80,44060,OH,lake,6.8,171700,139200
81,85364,AZ,yuma,17.8,173000,98800
83,60634,IL,cook,14.6,330700,208800
84,11221,NY,kings,21.9,470500,548000
85,14850,NY,tompkins,19.2,183200,217600
86,94533,CA,solano,9.6,426300,219500
87,11385,NY,queens,12.2,450700,432600
88,91709,CA,san bernardino,12.1,668500,541900
89,92677,CA,orange,8.9,839300,719300
90,65807,MO,greene,13.7,110600,104400
91,90019,CA,los angeles,14.6,818500,717100
92,78666,TX,hays,13.7,118200,146000
93,33009,FL,broward,11.4,284300,173300
94,92109,CA,san diego,11.1,714300,753100
95,95823,CA,sacramento,12.2,316800,162100
96,91911,CA,san diego,11.1,480100,334700
97,92804,CA,orange,8.9,596400,418000
98,90201,CA,los angeles,14.6,433800,303100
99,94536,CA,alameda,11.0,669300,660100
100,11236,NY,kings,21.9,406600,361200
101,19111,PA,philadelphia,23.5,186000,143900
102,27410,NC,guilford,15.5,180900,181600
104,87114,NM,bernalillo,14.9,209300,193800
105,33024,FL,broward,11.4,278200,154900
106,60016,IL,cook,14.6,269600,166400
107,73099,OK,canadian,8.0,118000,138500
108,2148,MA,middlesex,6.9,334500,310100
109,75228,TX,dallas,16.9,104100,90300
110,23454,VA,virginia beach city,6.6,288400,254900
111,90280,CA,los angeles,14.6,443400,297800
112,90004,CA,los angeles,14.6,1006700,1024200
113,92345,CA,san bernardino,12.1,318500,152100
114,44256,OH,medina,6.7,190500,177300
115,20011,DC,district of columbia,-1.0,359400,423500
116,45011,OH,butler,11.9,167300,153800
117,21740,MD,washington,10.5,205100,130200
118,43130,OH,fairfield,8.9,122000,110300
120,37075,TN,sumner,9.4,189900,204300
121,43081,OH,franklin,16.2,171600,157300
122,77450,TX,fort bend,8.4,168500,219600
124,92503,CA,riverside,11.7,422500,258700
125,85705,AZ,pima,14.9,161000,97100
126,92021,CA,san diego,11.1,460600,353500
127,46227,IN,marion,15.6,120600,117700
129,33186,FL,miami-dade,15.3,325400,203500
130,30024,GA,gwinnett,8.4,278400,253400
131,93065,CA,ventura,8.7,569500,459700
132,43123,OH,franklin,16.2,145500,130100
133,44130,OH,cuyahoga,15.7,135100,110300
134,90706,CA,los angeles,14.6,524100,362300
135,65203,MO,boone,16.0,164300,185700
136,28314,NC,cumberland,17.2,99700,107600
137,91730,CA,san bernardino,12.1,450500,327900
138,75217,TX,dallas,16.9,78100,53500
139,32244,FL,duval,12.4,161800,93800
140,48185,MI,wayne,20.8,152300,92200
142,48103,MI,washtenaw,12.7,288700,268000
143,78704,TX,travis,14.6,255900,339700
