prev_word_1,next_word_1,prev_word_2,next_word_2,sent_num,cap,word,tag,adj_count,adv_count,v_count,n_count,pre,suf,prev_tag
The,County,,Grand,0,True,Fulton,NP,0,0,0,1,,,
Fulton,Grand,The,Jury,0,True,County,NN,0,0,0,2,,,
County,Jury,Fulton,said,0,True,Grand,JJ,8,0,0,2,,,
Grand,said,County,Friday,0,True,Jury,NN,0,0,0,2,,,
Jury,Friday,Grand,an,0,False,said,VB,1,0,11,0,,,
an,of,Friday,Atlanta's,0,False,investigation,NN,0,0,0,2,in,ion,
of,recent,investigation,primary,0,True,Atlanta's,NP,0,0,0,0,,,
Atlanta's,primary,of,election,0,False,recent,JJ,2,0,0,1,,,
recent,election,Atlanta's,produced,0,False,primary,NN,5,0,0,4,,,
primary,produced,recent,``,0,False,election,NN,0,0,0,4,,ion,
election,``,primary,no,0,False,produced,VB,0,0,7,0,,ed,
no,'',``,that,0,False,evidence,NN,0,0,3,3,,e,
any,took,that,place,0,False,irregularities,NN,0,0,0,4,,,
irregularities,place,any,.,0,False,took,VB,0,0,42,0,,,
took,.,irregularities,,0,False,place,NN,0,0,16,16,,e,
The,further,,said,1,False,jury,NN,0,0,0,2,,,
jury,said,The,in,1,False,further,RB,1,8,2,0,,er,
further,in,jury,term-end,1,False,said,VB,1,0,11,0,,,
in,presentments,said,that,1,False,term-end,NN,0,0,0,0,,,
term-end,that,in,the,1,False,presentments,NN,0,0,0,3,,,
the,Executive,that,Committee,1,True,City,NN,0,0,0,3,,,
City,Committee,the,",",1,True,Executive,JJ,1,0,0,3,,e,
Executive,",",City,which,1,True,Committee,NN,0,0,0,2,,e,
had,charge,which,of,1,False,over-all,JJ,0,0,0,0,,,
over-all,of,had,the,1,False,charge,NN,0,0,25,15,,e,
the,",",of,``,1,False,election,NN,0,0,0,4,,ion,
``,the,",",praise,1,False,deserves,VB,0,0,1,0,,,
the,and,deserves,thanks,1,False,praise,NN,0,0,1,2,,e,
and,of,praise,the,1,False,thanks,NN,0,0,1,2,,,
the,of,of,Atlanta,1,True,City,NN,0,0,0,3,,,
of,'',City,for,1,True,Atlanta,NP,0,0,0,2,,,
the,in,for,which,1,False,manner,NN,0,0,0,3,,er,
the,was,which,conducted,1,False,election,NN,0,0,0,4,,ion,
was,.,election,,1,False,conducted,VB,0,0,6,0,,ed,
The,term,,jury,2,True,September-October,NP,0,0,0,0,,er,
September-October,jury,The,had,2,False,term,NN,0,0,1,7,,,
term,had,September-October,been,2,False,jury,NN,0,0,0,2,,,
been,by,had,Fulton,2,False,charged,VB,4,0,25,0,,ed,
by,Superior,charged,Court,2,True,Fulton,NP,0,0,0,1,,,
Fulton,Court,by,Judge,2,True,Superior,JJ,7,0,0,6,,,
Superior,Judge,Fulton,Durwood,2,True,Court,NN,0,0,3,11,,,
Court,Durwood,Superior,Pye,2,True,Judge,NN,0,0,5,2,,e,
Judge,Pye,Court,to,2,True,Durwood,NP,0,0,0,0,,,
Durwood,to,Judge,investigate,2,True,Pye,NP,0,0,0,0,,e,
to,reports,Pye,of,2,False,investigate,VB,0,0,2,0,in,e,
investigate,of,to,possible,2,False,reports,NN,0,0,6,7,,,
of,``,reports,irregularities,2,False,possible,JJ,2,0,0,2,,e,
``,'',possible,in,2,False,irregularities,NN,0,0,0,4,,,
the,primary,in,which,2,False,hard-fought,JJ,1,0,0,0,,,
hard-fought,which,the,was,2,False,primary,NN,5,0,0,4,,,
was,by,which,Mayor-nominate,2,False,won,VB,1,0,4,2,,,
by,Ivan,won,Allen,2,True,Mayor-nominate,NN,0,0,0,0,,e,
Mayor-nominate,Allen,by,Jr.,2,True,Ivan,NP,0,0,0,0,,,
Ivan,Jr.,Mayor-nominate,.,2,True,Allen,NP,0,0,0,3,,,
Allen,.,Ivan,,2,True,Jr.,NP,1,0,0,0,,,
``,a,,relative,3,True,Only,RB,2,7,0,0,,ly,
a,handful,Only,of,3,False,relative,JJ,2,0,0,2,,e,
relative,of,a,such,3,False,handful,NN,0,0,0,2,,,
of,reports,handful,was,3,False,such,JJ,1,1,0,0,,,
such,was,of,received,3,False,reports,NN,0,0,6,7,,,
was,'',reports,",",3,False,received,VB,2,0,13,0,,ed,
the,said,",",",",3,False,jury,NN,0,0,0,2,,,
jury,",",the,``,3,False,said,VB,1,0,11,0,,,
the,interest,considering,in,3,False,widespread,JJ,2,0,0,0,,,
widespread,in,the,the,3,False,interest,NN,0,0,3,7,in,est,
the,",",in,the,3,False,election,NN,0,0,0,4,,ion,
the,of,",",voters,3,False,number,NN,0,0,6,11,,er,
of,and,number,the,3,False,voters,NN,0,0,0,1,,,
the,of,and,this,3,False,size,NN,1,0,3,5,,e,
this,'',of,.,3,False,city,NN,0,0,0,3,,,
The,said,,it,4,False,jury,NN,0,0,0,2,,,
jury,it,The,did,4,False,said,VB,1,0,11,0,,,
did,that,it,many,4,False,find,VB,0,0,16,2,,,
of,registration,many,and,4,True,Georgia's,NP,0,0,0,0,,,
Georgia's,and,of,election,4,False,registration,NN,0,0,0,5,,ion,
and,laws,registration,``,4,False,election,NN,0,0,0,4,,ion,
election,``,and,are,4,False,laws,NN,0,0,0,8,,,
are,or,``,inadequate,4,False,outmoded,JJ,1,0,1,0,,ed,
or,and,outmoded,often,4,False,inadequate,JJ,2,0,0,0,in,e,
and,ambiguous,inadequate,'',4,False,often,RB,0,3,0,0,,,
often,'',and,.,4,False,ambiguous,JJ,3,0,0,0,,,
It,that,,Fulton,5,False,recommended,VB,0,0,3,0,,ed,
that,legislators,recommended,act,5,True,Fulton,NP,0,0,0,1,,,
Fulton,act,that,``,5,False,legislators,NN,0,0,0,1,,,
legislators,``,Fulton,to,5,False,act,VB,0,0,10,5,,,
these,studied,have,and,5,False,laws,NN,0,0,0,8,,,
laws,and,these,revised,5,False,studied,VB,1,0,6,0,,ed,
and,to,studied,the,5,False,revised,VB,2,0,2,0,,ed,
the,of,to,modernizing,5,False,end,NN,0,0,4,14,,,
of,and,end,improving,5,False,modernizing,VB,0,0,2,0,,ing,
and,them,modernizing,'',5,False,improving,VB,1,0,2,0,,ing,
The,jury,,commented,6,False,grand,JJ,8,0,0,2,,,
grand,commented,The,on,6,False,jury,NN,0,0,0,2,,,
jury,on,grand,a,6,False,commented,VB,0,0,3,0,,ed,
a,of,on,other,6,False,number,NN,0,0,6,11,,er,
other,",",of,among,6,False,topics,NN,0,0,0,2,,,
the,and,them,Fulton,6,True,Atlanta,NP,0,0,0,2,,,
and,County,Atlanta,purchasing,6,True,Fulton,NP,0,0,0,1,,,
Fulton,purchasing,and,departments,6,True,County,NN,0,0,0,2,,,
County,departments,Fulton,which,6,False,purchasing,VB,0,0,1,1,,ing,
purchasing,which,County,it,6,False,departments,NN,0,0,0,3,,,
it,``,which,are,6,False,said,VB,1,0,11,0,,,
well,and,are,follow,6,False,operated,VB,0,0,7,0,,ed,
and,generally,operated,accepted,6,False,follow,VB,0,0,24,0,,,
follow,accepted,and,practices,6,False,generally,RB,0,3,0,0,,ly,
generally,practices,follow,which,6,False,accepted,VB,1,0,11,0,,ed,
accepted,which,generally,inure,6,False,practices,NN,0,0,5,5,,,
which,to,practices,the,6,False,inure,VB,0,0,1,0,in,e,
the,interest,to,of,6,False,best,JJ,23,16,1,3,,est,
best,of,the,both,6,False,interest,NN,0,0,3,7,in,est,
both,'',of,.,6,False,governments,NN,0,0,0,4,,,
,proposed,,,7,True,Merger,NN,0,0,0,2,,er,
Merger,,,,7,False,proposed,VB,0,0,5,0,,ed,
the,said,",",it,8,False,jury,NN,0,0,0,2,,,
jury,it,the,believes,8,False,said,VB,1,0,11,0,,,
it,``,said,these,8,False,believes,VB,0,0,5,2,,,
two,should,these,be,8,False,offices,NN,0,0,0,7,,,
be,to,should,achieve,8,False,combined,VB,1,0,7,0,,ed,
to,greater,combined,efficiency,8,False,achieve,VB,0,0,1,0,,e,
achieve,efficiency,to,and,8,False,greater,JJ,7,0,0,0,,er,
greater,and,achieve,reduce,8,False,efficiency,NN,0,0,0,2,,,
and,the,efficiency,cost,8,False,reduce,VB,0,0,20,0,,e,
the,of,reduce,administration,8,False,cost,NN,0,0,2,3,,,
of,'',cost,.,8,False,administration,NN,0,0,0,6,,ion,
The,Purchasing,,Department,9,True,City,NN,0,0,0,3,,,
City,Department,The,",",9,True,Purchasing,VB,0,0,1,1,,ing,
Purchasing,",",City,the,9,True,Department,NN,0,0,0,3,,,
the,said,",",",",9,False,jury,NN,0,0,0,2,,,
jury,",",the,``,9,False,said,VB,1,0,11,0,,,
is,in,``,experienced,9,False,lacking,VB,2,0,1,0,,ing,
in,clerical,lacking,personnel,9,False,experienced,VB,1,0,5,0,,ed,
experienced,personnel,in,as,9,False,clerical,JJ,3,0,0,0,,,
clerical,as,experienced,a,9,False,personnel,NN,0,0,0,2,,,
a,of,as,city,9,False,result,NN,0,0,3,4,,,
of,personnel,result,policies,9,False,city,NN,0,0,0,3,,,
city,policies,of,'',9,False,personnel,NN,0,0,0,2,,,
personnel,'',city,.,9,False,policies,NN,0,0,0,3,,,
It,that,,the,10,False,urged,VB,0,0,3,0,,ed,
the,``,that,take,10,False,city,NN,0,0,0,3,,,
``,steps,city,to,10,False,take,VB,0,0,42,2,,e,
take,to,``,remedy,10,False,steps,NN,0,0,10,13,,,
to,'',steps,this,10,False,remedy,VB,0,0,2,2,,,
this,.,'',,10,False,problem,NN,0,0,0,3,,,
,of,,Georgia's,11,True,Implementation,NN,0,0,0,2,,ion,
of,automobile,Implementation,title,11,True,Georgia's,NP,0,0,0,0,,,
Georgia's,title,of,law,11,False,automobile,NN,0,0,1,1,,e,
automobile,law,Georgia's,was,11,False,title,NN,0,0,2,10,,e,
title,was,automobile,also,11,False,law,NN,0,0,0,7,,,
was,recommended,law,by,11,False,also,RB,0,1,0,0,,,
also,by,was,the,11,False,recommended,VB,0,0,3,0,,ed,
the,jury,by,.,11,False,outgoing,JJ,3,0,1,0,,ing,
outgoing,.,the,,11,False,jury,NN,0,0,0,2,,,
It,that,,the,12,False,urged,VB,0,0,3,0,,ed,
next,``,the,provide,12,True,Legislature,NN,0,0,0,1,,e,
``,enabling,Legislature,funds,12,False,provide,VB,0,0,7,0,,e,
provide,funds,``,and,12,False,enabling,VB,1,0,1,0,,ing,
enabling,and,provide,re-set,12,False,funds,NN,0,0,6,4,,,
and,the,funds,effective,12,False,re-set,VB,0,0,0,0,,,
the,date,re-set,so,12,False,effective,JJ,6,0,0,0,,e,
effective,so,the,that,12,False,date,NN,0,0,5,8,,e,
an,implementation,that,of,12,False,orderly,JJ,2,0,0,2,,ly,
orderly,of,an,the,12,False,implementation,NN,0,0,0,2,,ion,
the,may,of,be,12,False,law,NN,0,0,0,7,,,
be,'',may,.,12,False,effected,VB,1,0,2,0,,ed,
The,jury,,took,13,False,grand,JJ,8,0,0,2,,,
grand,took,The,a,13,False,jury,NN,0,0,0,2,,,
jury,a,grand,swipe,13,False,took,VB,0,0,42,0,,,
a,at,took,the,13,False,swipe,NN,0,0,2,1,,e,
the,Welfare,at,Department's,13,True,State,NN,0,0,3,8,,e,
State,Department's,the,handling,13,True,Welfare,NN,0,0,0,3,,e,
